Date and Time,Location Code,Energy kWh
2/1/22 8:00,CWSS_BLK-CDE,0
2/1/22 8:00,CWSS_BLK-I,0
2/1/22 8:00,CWSS_BLK-B,0
2/1/22 9:00,CWSS_BLK-CDE,0.68
2/1/22 9:00,CWSS_BLK-A,0.77
2/1/22 9:00,CWSS_BLK-B,0.68
2/1/22 9:00,CWSS_BLK-I,0.47
2/1/22 10:00,CWSS_BLK-CDE,1.54
2/1/22 10:00,CWSS_BLK-I,1.02
2/1/22 10:00,CWSS_BLK-A,1.67
2/1/22 10:00,CWSS_BLK-B,1.54
2/1/22 11:00,CWSS_BLK-A,3.56
2/1/22 11:00,CWSS_BLK-I,2.27
2/1/22 11:00,CWSS_BLK-B,3.11
2/1/22 11:00,CWSS_BLK-CDE,3.26
2/1/22 12:00,CWSS_BLK-I,3.35
2/1/22 12:00,CWSS_BLK-CDE,4.93
2/1/22 12:00,CWSS_BLK-A,5.28
2/1/22 12:00,CWSS_BLK-B,4.69
2/1/22 13:00,CWSS_BLK-A,15.04
2/1/22 13:00,CWSS_BLK-B,13.26
2/1/22 13:00,CWSS_BLK-I,9.5
2/1/22 13:00,CWSS_BLK-CDE,13.89
2/1/22 14:00,CWSS_BLK-A,34.4
2/1/22 14:00,CWSS_BLK-CDE,31.91
2/1/22 14:00,CWSS_BLK-B,30.47
2/1/22 14:00,CWSS_BLK-I,21.99
2/1/22 15:00,CWSS_BLK-A,22.91
2/1/22 15:00,CWSS_BLK-B,20.22
2/1/22 15:00,CWSS_BLK-I,14.76
2/1/22 15:00,CWSS_BLK-CDE,21.28
2/1/22 16:00,CWSS_BLK-B,8.29
2/1/22 16:00,CWSS_BLK-I,6.08
2/1/22 16:00,CWSS_BLK-A,9.41
2/1/22 16:00,CWSS_BLK-CDE,8.8
2/1/22 17:00,CWSS_BLK-B,6.53
2/1/22 17:00,CWSS_BLK-CDE,6.88
2/1/22 17:00,CWSS_BLK-A,7.37
2/1/22 17:00,CWSS_BLK-I,4.77
2/1/22 18:00,CWSS_BLK-A,2.45
2/1/22 18:00,CWSS_BLK-CDE,2.24
2/1/22 18:00,CWSS_BLK-B,2.2
2/1/22 18:00,CWSS_BLK-I,1.54
2/1/22 19:00,CWSS_BLK-CDE,1.54
2/1/22 19:00,CWSS_BLK-I,0.98
2/1/22 19:00,CWSS_BLK-A,1.67
2/1/22 19:00,CWSS_BLK-B,1.47
2/1/22 20:00,CWSS_BLK-I,0
2/1/22 20:00,CWSS_BLK-A,0
2/1/22 20:00,CWSS_BLK-B,0
2/1/22 20:00,CWSS_BLK-CDE,0
2/1/22 21:00,CWSS_BLK-CDE,0
2/1/22 21:00,CWSS_BLK-I,0.03
2/1/22 21:00,CWSS_BLK-A,0
2/1/22 21:00,CWSS_BLK-B,0
3/1/22 1:00,CWSS_BLK-I,0
3/1/22 1:00,CWSS_BLK-B,0
3/1/22 1:00,CWSS_BLK-A,0
3/1/22 1:00,CWSS_BLK-CDE,0
3/1/22 2:00,CWSS_BLK-B,0
3/1/22 2:00,CWSS_BLK-I,0
3/1/22 2:00,CWSS_BLK-A,0
3/1/22 2:00,CWSS_BLK-CDE,0
3/1/22 3:00,CWSS_BLK-I,0
3/1/22 3:00,CWSS_BLK-A,0.03
3/1/22 3:00,CWSS_BLK-B,0
3/1/22 3:00,CWSS_BLK-CDE,0
3/1/22 4:00,CWSS_BLK-CDE,0
3/1/22 4:00,CWSS_BLK-A,0
3/1/22 4:00,CWSS_BLK-B,0
3/1/22 4:00,CWSS_BLK-I,0
3/1/22 5:00,CWSS_BLK-CDE,0
3/1/22 5:00,CWSS_BLK-B,0
3/1/22 5:00,CWSS_BLK-I,0.03
3/1/22 5:00,CWSS_BLK-A,0
3/1/22 6:00,CWSS_BLK-A,0
3/1/22 6:00,CWSS_BLK-B,0
3/1/22 6:00,CWSS_BLK-CDE,0
3/1/22 6:00,CWSS_BLK-I,0
3/1/22 7:00,CWSS_BLK-CDE,0
3/1/22 7:00,CWSS_BLK-I,0.03
3/1/22 7:00,CWSS_BLK-A,0
3/1/22 7:00,CWSS_BLK-B,0
3/1/22 8:00,CWSS_BLK-B,4
3/1/22 8:00,CWSS_BLK-I,2.78
3/1/22 8:00,CWSS_BLK-CDE,4.09
3/1/22 8:00,CWSS_BLK-A,4.48
3/1/22 9:00,CWSS_BLK-B,17.32
3/1/22 9:00,CWSS_BLK-I,12.36
3/1/22 9:00,CWSS_BLK-CDE,18.21
3/1/22 9:00,CWSS_BLK-A,19.42
3/1/22 10:00,CWSS_BLK-I,29.69
3/1/22 10:00,CWSS_BLK-A,48.59
3/1/22 10:00,CWSS_BLK-CDE,45.8
3/1/22 10:00,CWSS_BLK-B,43.46
3/1/22 11:00,CWSS_BLK-B,64.03
3/1/22 11:00,CWSS_BLK-CDE,68.99
3/1/22 11:00,CWSS_BLK-A,72.32
3/1/22 11:00,CWSS_BLK-I,44.96
3/1/22 12:00,CWSS_BLK-CDE,60.04
3/1/22 12:00,CWSS_BLK-B,54.43
3/1/22 12:00,CWSS_BLK-I,39.65
3/1/22 12:00,CWSS_BLK-A,63.2
3/1/22 13:00,CWSS_BLK-A,72.51
3/1/22 13:00,CWSS_BLK-I,46.56
3/1/22 13:00,CWSS_BLK-CDE,67.78
3/1/22 13:00,CWSS_BLK-B,63.81
3/1/22 14:00,CWSS_BLK-I,69.76
3/1/22 14:00,CWSS_BLK-A,105.9
3/1/22 14:00,CWSS_BLK-B,92.41
3/1/22 14:00,CWSS_BLK-CDE,101.24
3/1/22 15:00,CWSS_BLK-I,55.75
3/1/22 15:00,CWSS_BLK-B,74.11
3/1/22 15:00,CWSS_BLK-A,84.99
3/1/22 15:00,CWSS_BLK-CDE,80.93
3/1/22 16:00,CWSS_BLK-A,25.67
3/1/22 16:00,CWSS_BLK-CDE,24.16
3/1/22 16:00,CWSS_BLK-I,16.64
3/1/22 16:00,CWSS_BLK-B,22.53
3/1/22 17:00,CWSS_BLK-A,27.2
3/1/22 17:00,CWSS_BLK-I,17.56
3/1/22 17:00,CWSS_BLK-B,24.13
3/1/22 17:00,CWSS_BLK-CDE,25.31
3/1/22 18:00,CWSS_BLK-CDE,35.68
3/1/22 18:00,CWSS_BLK-B,30.53
3/1/22 18:00,CWSS_BLK-I,25.88
3/1/22 18:00,CWSS_BLK-A,35.91
3/1/22 19:00,CWSS_BLK-I,10.91
3/1/22 19:00,CWSS_BLK-B,9.6
3/1/22 19:00,CWSS_BLK-CDE,12.64
3/1/22 19:00,CWSS_BLK-A,11.87
3/1/22 20:00,CWSS_BLK-I,0.06
3/1/22 20:00,CWSS_BLK-CDE,0.13
3/1/22 20:00,CWSS_BLK-A,0.13
3/1/22 20:00,CWSS_BLK-B,0.13
4/1/22 1:00,CWSS_BLK-I,0.03
4/1/22 1:00,CWSS_BLK-CDE,0
4/1/22 1:00,CWSS_BLK-B,0
4/1/22 1:00,CWSS_BLK-A,0
4/1/22 2:00,CWSS_BLK-CDE,0
4/1/22 2:00,CWSS_BLK-B,0
4/1/22 2:00,CWSS_BLK-I,0
4/1/22 2:00,CWSS_BLK-A,0
4/1/22 3:00,CWSS_BLK-B,0
4/1/22 3:00,CWSS_BLK-A,0
4/1/22 3:00,CWSS_BLK-CDE,0
4/1/22 3:00,CWSS_BLK-I,0
4/1/22 4:00,CWSS_BLK-I,0
4/1/22 4:00,CWSS_BLK-B,0
4/1/22 4:00,CWSS_BLK-A,0
4/1/22 4:00,CWSS_BLK-CDE,0.03
4/1/22 5:00,CWSS_BLK-B,0
4/1/22 5:00,CWSS_BLK-CDE,0
4/1/22 5:00,CWSS_BLK-I,0
4/1/22 5:00,CWSS_BLK-A,0
4/1/22 6:00,CWSS_BLK-A,0
4/1/22 6:00,CWSS_BLK-B,0
4/1/22 6:00,CWSS_BLK-CDE,0
4/1/22 6:00,CWSS_BLK-I,0.03
4/1/22 7:00,CWSS_BLK-I,0
4/1/22 7:00,CWSS_BLK-A,0
4/1/22 7:00,CWSS_BLK-B,0
4/1/22 7:00,CWSS_BLK-CDE,0
4/1/22 8:00,CWSS_BLK-CDE,3.84
4/1/22 8:00,CWSS_BLK-B,3.68
4/1/22 8:00,CWSS_BLK-I,2.43
4/1/22 8:00,CWSS_BLK-A,4.12
4/1/22 9:00,CWSS_BLK-CDE,22.14
4/1/22 9:00,CWSS_BLK-I,12.58
4/1/22 9:00,CWSS_BLK-A,23.04
4/1/22 9:00,CWSS_BLK-B,20.76
4/1/22 10:00,CWSS_BLK-CDE,37.18
4/1/22 10:00,CWSS_BLK-A,39.2
4/1/22 10:00,CWSS_BLK-B,34.56
4/1/22 10:00,CWSS_BLK-I,24.02
4/1/22 11:00,CWSS_BLK-CDE,56.8
4/1/22 11:00,CWSS_BLK-B,53.7
4/1/22 11:00,CWSS_BLK-I,38.63
4/1/22 11:00,CWSS_BLK-A,60.28
4/1/22 12:00,CWSS_BLK-CDE,66.24
4/1/22 12:00,CWSS_BLK-I,45.53
4/1/22 12:00,CWSS_BLK-A,70.58
4/1/22 12:00,CWSS_BLK-B,62.59
4/1/22 13:00,CWSS_BLK-B,71.59
4/1/22 13:00,CWSS_BLK-CDE,76.7
4/1/22 13:00,CWSS_BLK-A,81.34
4/1/22 13:00,CWSS_BLK-I,52.79
4/1/22 14:00,CWSS_BLK-CDE,74.17
4/1/22 14:00,CWSS_BLK-I,50.63
4/1/22 14:00,CWSS_BLK-B,68
4/1/22 14:00,CWSS_BLK-A,78.04
4/1/22 15:00,CWSS_BLK-A,86.27
4/1/22 15:00,CWSS_BLK-I,57.92
4/1/22 15:00,CWSS_BLK-B,76.99
4/1/22 15:00,CWSS_BLK-CDE,80.77
4/1/22 16:00,CWSS_BLK-A,31.49
4/1/22 16:00,CWSS_BLK-CDE,29.67
4/1/22 16:00,CWSS_BLK-I,21.08
4/1/22 16:00,CWSS_BLK-B,28.22
4/1/22 17:00,CWSS_BLK-B,30.05
4/1/22 17:00,CWSS_BLK-A,34.53
4/1/22 17:00,CWSS_BLK-I,22.4
4/1/22 17:00,CWSS_BLK-CDE,32.77
4/1/22 18:00,CWSS_BLK-B,20.1
4/1/22 18:00,CWSS_BLK-A,22.78
4/1/22 18:00,CWSS_BLK-I,15.26
4/1/22 18:00,CWSS_BLK-CDE,21.67
4/1/22 19:00,CWSS_BLK-CDE,12.77
4/1/22 19:00,CWSS_BLK-A,12.86
4/1/22 19:00,CWSS_BLK-I,9.63
4/1/22 19:00,CWSS_BLK-B,10.87
4/1/22 20:00,CWSS_BLK-A,0.32
4/1/22 20:00,CWSS_BLK-B,0.29
4/1/22 20:00,CWSS_BLK-CDE,0.32
4/1/22 20:00,CWSS_BLK-I,0.26
4/1/22 21:00,CWSS_BLK-CDE,0
4/1/22 21:00,CWSS_BLK-I,0
4/1/22 21:00,CWSS_BLK-B,0
4/1/22 21:00,CWSS_BLK-A,0
5/1/22 1:00,CWSS_BLK-CDE,0
5/1/22 1:00,CWSS_BLK-I,0.03
5/1/22 1:00,CWSS_BLK-A,0
5/1/22 1:00,CWSS_BLK-B,0
5/1/22 2:00,CWSS_BLK-A,0
5/1/22 2:00,CWSS_BLK-CDE,0
5/1/22 2:00,CWSS_BLK-I,0
5/1/22 2:00,CWSS_BLK-B,0
5/1/22 3:00,CWSS_BLK-I,0.03
5/1/22 3:00,CWSS_BLK-B,0
5/1/22 3:00,CWSS_BLK-CDE,0
5/1/22 3:00,CWSS_BLK-A,0
5/1/22 4:00,CWSS_BLK-CDE,0
5/1/22 4:00,CWSS_BLK-B,0
5/1/22 4:00,CWSS_BLK-A,0
5/1/22 4:00,CWSS_BLK-I,0
5/1/22 5:00,CWSS_BLK-CDE,0
5/1/22 5:00,CWSS_BLK-A,0
5/1/22 5:00,CWSS_BLK-I,0
5/1/22 5:00,CWSS_BLK-B,0
5/1/22 6:00,CWSS_BLK-CDE,0
5/1/22 6:00,CWSS_BLK-A,0
5/1/22 6:00,CWSS_BLK-B,0
5/1/22 6:00,CWSS_BLK-I,0
5/1/22 7:00,CWSS_BLK-I,0
5/1/22 7:00,CWSS_BLK-B,0
5/1/22 7:00,CWSS_BLK-A,0
5/1/22 7:00,CWSS_BLK-CDE,0
5/1/22 8:00,CWSS_BLK-A,5.5
