Facilities,profits,revenue,maintenance cost,initial invested value
cross country skiing facility,2000000,10000000,200000,25000000
outdoor sport complex,305208,1129386,160000,1600000
regenerative farm,22781,354000,124000,698082
agrivoltaic farm,35491,432000,143600,879546
grazing farm,40000,225000,28720,320000
agritourist centre,8162,50230,7550,94267
